Location,Attraction
Surabaya,Tugu Pahlawan
Surabaya,Museum Surabaya
Surabaya,Monumen Kapal Selam
Malang,Kampung Warna Warni
Malang,Hawai Waterpark
Malang,Florawisata Santerra De Laponte
Malang,Malang Night Paradise
Malang,Alun Alun Malang
Malang,Pantai Sempu
Malang,Kampung Tridi
Malang,Taman Wisata Wendit
Malang,Coban Pelangi
Malang,Pantai Balekambang
Malang,Pantai Parang Dowo
Malang,Coban Rondo
Malang,Kebun Teh Wonosari
Malang,Pantai Ngantep
Malang,Sumber Sira Putukrejo
Surabaya,Kebun Binatang Surabaya
Surabaya,Surabaya North Quay
Surabaya,Taman Bungkul
Surabaya,Kenjeran
Surabaya,Romokalisari Adventure
Surabaya,Monumen Jalasveva Jayamahe
Surabaya,Kebun Bibit
Surabaya,Hutan Bambu
Surabaya,Hutan Mangrove
Surabaya,Museum House Of Sampoerna
Surabaya,Taman Prestasi
Surabaya,Sanggar Agung Klenteng
Surabaya,Kya Kya
Madiun,Air Terjun Seweru
Madiun,Monumen Kresek 
Madiun,Gunung Kendil
Madiun,Hutan Pinus Nongko Ijo
Madiun,Air Terjun Kertoembo
Madiun,Taman Kota Caruban
Madiun,Wahana Bermain Sekar Arum
Madiun,Dumilah Waterpark
Madiun,Air Terjun Banyulawe Dong
Madiun,Air Terjun Kucur
Kediri,Bukit Gandrung
Kediri,Monumen Syu
Kediri,Museum Airlangga
Kediri,Kediri Eco Park
Kediri,Museum Fotografi
Kediri,Taman Tirtoyoso
Kediri,Candi Surowono
Kediri,Bukit Ongakan
Kediri,Gunung Kelud
Kediri,Simpang Lima Gumul
Probolinggo,Bee Jay Bakau Resort
Probolinggo,Gunung Argopuro
Probolinggo,Pantai Bentar
Probolinggo,Gili Ketapang
Probolinggo,Air Terjun Madakaripura
Probolinggo,Air Terjun Umbulan
Probolinggo,Danau Ranu Agung
Probolinggo,Museum Probolinggo
Probolinggo,Candi Jabung
Probolinggo,Pantai Duta